Time (sec),Absolute load value (%),Absolute throttle position (%),Ambient air temperature (F),Barometric pressure (inHg),Calculated load value (%),Commanded fuel rail pressure A (inHg),Engine coolant temperature (F),Engine RPM (RPM),Fuel level input (%),Fuel rail pressure (psi),Fuel/Air commanded equivalence ratio,Intake air temperature (F),Intake manifold absolute pressure (inHg),Long term fuel % trim - Bank 1 (%),Mass air flow rate (lb/min),Vehicle speed (MPH),Acceleration (mph/s),Fuel rate (gal/hr),Instant fuel economy (MPG)
141.514,22.7451,11.76471,87.8,29.8254,42.35294,1080.802,197.6,554.25,67.45098,543.8915,0.9952455,105.8,14.17445,3.90625,0.279153,0,0,0.1862785,0
142.532,22.35294,11.76471,87.8,29.8254,41.96078,1063.084,197.6,563.75,67.45098,513.4336,0.9952455,105.8,13.87915,3.90625,0.269892,0,0,0.1800987,0
143.561,21.96078,11.76471,87.8,29.8254,41.56863,1045.366,197.6,561,67.45098,527.9374,0.9952455,107.6,14.17445,3.90625,0.292383,0,0,0.1951069,0
144.352,21.96078,11.76471,87.8,29.8254,42.35294,1054.225,197.6,555,67.45098,509.0825,0.9952455,107.6,14.17445,3.90625,0.272538,0,0,0.1818643,0
145.126,22.35294,12.54902,87.8,29.8254,41.96078,1086.708,197.6,610,67.45098,519.2351,0.9952455,107.6,17.71806,7.8125,0.269892,0,0,0.1800987,0
145.837,28.23529,11.76471,87.8,29.8254,41.56863,1160.533,197.6,756.5,67.45098,603.357,0.9952455,107.6,15.94625,7.8125,0.235494,0,0,0.1571449,0
146.914,27.45098,12.94118,87.8,29.8254,43.92157,1231.405,197.6,694.25,67.45098,607.7081,0.9952455,105.8,15.35565,3.90625,0.44982,0,0,0.3001644,0
147.683,25.09804,12.54902,87.8,29.8254,42.7451,1172.345,197.6,674,67.45098,587.4028,0.9952455,105.8,14.76505,3.90625,0.362502,0,0,0.2418972,0
148.552,24.31373,12.54902,87.8,29.8254,41.17647,1136.909,197.6,672,67.45098,543.8915,0.9952455,105.8,14.76505,3.90625,0.34398,0,0,0.2295375,0
149.5,23.52941,12.54902,87.8,29.8254,40.39216,1113.285,197.6,657,67.45098,558.3953,0.9952455,105.8,14.46975,3.90625,0.347949,0,0,0.232186,0
150.643,23.52941,12.54902,87.8,29.8254,40.39216,1101.473,199.4,648,67.45098,533.7389,0.9952455,107.6,14.46975,3.90625,0.388962,0,0,0.2595539,0
151.646,22.7451,12.15686,87.8,29.8254,40.39216,1089.661,199.4,620,67.45098,523.5862,0.9952455,107.6,14.17445,3.90625,0.31752,0,0,0.2118808,0
152.658,22.7451,12.15686,87.8,29.8254,40.39216,1068.99,199.4,597.25,67.45098,519.2351,0.9952455,107.6,14.17445,3.90625,0.313551,0,0,0.2092323,0
153.4,22.35294,12.15686,87.8,29.8254,41.17647,1066.037,199.4,583.25,67.45098,519.2351,0.9952455,107.6,14.46975,3.90625,0.285768,0,0,0.1906927,0
